rep,index,x1,x2,x3,e,Y,y_hat,e_hat
0.0,0.0,0.8498946667566247,-0.009354459611482839,-1.0785532070746946,0.0599929506037786,12.471031951483848,12.412880634939107,0.05815131654474115
0.0,1.0,-0.6769245144009421,0.2746269359201286,-0.31191799481345345,0.02171777442867886,-1.784818428474067,-1.8932029622065505,0.10838453373248358
0.0,2.0,-2.3779712211368897,-1.1595878673998246,1.3432241798727664,28.094200597291305,9.498124698395351,-18.671168270215116,28.169292968610467
0.0,3.0,-0.4027533770960103,1.5834682261114437,-0.7570623120378033,-0.014777373520190054,1.7840947695933473,1.624215258319908,0.15987951127343925
0.0,4.0,1.3593711654819671,-0.2782024189183652,-0.8149652254794645,-0.7224107158657949,16.778133294556046,17.517314566008146,-0.7391812714521002
0.0,5.0,-0.7150677133024711,-0.28258508527970233,-0.6703899458503634,0.31756347289459486,-2.7860886912601823,-3.1200521127278256,0.33396342146764324
0.0,6.0,-0.09156802510049449,-1.6028355529408602,-0.029225738350885853,7.749987224383669e-05,2.452335957575553,2.5243626893158764,-0.07202673174032359
0.0,7.0,0.385113451245946,-1.9370604082795972,1.4110373644463392,-0.00082100426574741,8.324290464360454,8.349201384731735,-0.02491092037128162
0.0,8.0,-0.09421880992869068,2.5096619942048823,1.6792246477107902,-5.115091576869062e-05,8.246647391712997,7.851234441848109,0.3954129498648884
0.0,9.0,0.33574710537827224,0.6293326455295553,1.6891171698383982,-0.01592691743076301,10.659993951719914,10.453457509204753,0.20653644251516035
0.0,10.0,0.15331092555006876,-0.6352028013349418,0.5814460016375753,0.00030117218585644644,6.479653627989177,6.432288697074723,0.04736493091445393
0.0,11.0,-0.8023700780226138,1.6871533966364556,-0.3874198811080194,-0.48869810975567746,-2.212665374453379,-1.9342415207427122,-0.2784238537106667
0.0,12.0,-0.6412008878927766,0.04194337166628762,-0.2170348334349609,-0.0291099470718687,-1.6162102877683084,-1.658015280443168,0.0418049926748596
0.0,13.0,0.7926943421918253,0.03938546809053351,-1.930785508931213,0.128228388312282,11.163771769389855,11.081866816010608,0.0819049533792473
0.0,14.0,0.3709797581032529,-0.0492801107720873,-0.39950466347610386,0.007462648717358444,8.268475455501695,8.221148440285669,0.04732701521602678
0.0,15.0,0.5392272890519209,-1.369073193366538,1.9894840487051717,0.003886091387363193,11.016569837245205,10.954161594388927,0.06240824285627866
0.0,16.0,-0.6960960678285026,-0.6597211098109815,-0.44895499018234725,-0.19948183640581774,-3.2691186146841726,-3.064910433768606,-0.20420818091556647
0.0,17.0,-0.3847127590747992,-1.5296624683266822,-0.9822998676937608,0.010538825049755262,-1.3485511017186795,-1.2416912773605278,-0.10685982435815178
0.0,18.0,0.5013236828875323,-0.4584001415091884,0.34798254004452084,0.0742586176211541,9.977077845031811,9.857716655159571,0.1193611898722402
0.0,19.0,-0.7997187871083813,0.9576276286495233,0.932693974603047,-0.4017562847668303,-1.5086225525980734,-1.32852521296011,-0.18009733963796348
1.0,0.0,-0.8834464074651707,-1.0871098193530009,0.02915318531338161,1.048322175667708,-3.844098533023618,-4.879491038255856,1.0353925052322381
1.0,1.0,0.42883522809575025,0.6221257911698469,1.5619890679055646,-0.06393272991434526,11.408534410118568,11.259167903357536,0.14936650676103191
1.0,2.0,0.6347103746668126,-0.44490005719782855,-0.8014582081143091,-0.2203548457463797,9.880390635609606,10.122867964217264,-0.24247732860765758
1.0,3.0,-0.36830935147075866,-1.0442005441658437,1.2304493802362124,-0.02995965187697918,1.4731956694858028,1.4486601511855812,0.024535518300221604
1.0,4.0,0.01608681996594793,1.2520977672925488,0.8842610970169994,1.7333999052696383e-08,7.297227081303026,7.0619113039566015,0.2353157773464245
1.0,5.0,0.018170997668357988,-0.46424671571721804,-0.4946598133821588,-1.32694816711067e-07,4.222803314889386,4.221346826646286,0.0014564882431002957
1.0,6.0,-1.2078148759922205,-0.19763910560907685,-0.09231069145010032,1.2738410482600993,-6.094257508721282,-7.431683767198604,1.337426258477322
1.0,7.0,-0.5202462986493098,0.49876337310059715,0.4134425559595965,-0.14093852714646926,0.5688044154206259,0.5627429763413421,0.0060614390792838035
1.0,8.0,-0.2817233482359303,-0.30548818105099856,1.0567695707318658,-0.0005790970451357597,2.9334688102764286,2.824555817662478,0.10891299261395071
1.0,9.0,-0.31859680962651415,-0.23098455692683184,-0.7068437112627541,0.010178451148514404,0.8863820866937869,0.8621109158615456,0.024271170832241284
1.0,10.0,0.726554906863952,-1.4607228740964322,-0.08189402889898664,-0.31317918204275474,10.409752983601345,10.795295687865973,-0.385542704264628
1.0,11.0,0.12198491747023116,-0.3071886294486965,1.575187646159104,-8.577857946202828e-05,7.4877624128332565,7.353269300275985,0.13449311255727192
1.0,12.0,1.097471256001017,-0.6679360822752951,0.8504250528637068,0.1912948017690194,16.3484963323676,16.10888391293415,0.23961241943344902
1.0,13.0,1.3090982625050542,1.3343773130723358,1.228360278955012,2.522301033517314,23.176021250595205,20.406716769913643,2.769304480681562
1.0,14.0,-0.90525619561983,1.3600359931687866,-1.2647032278715726,-0.17843928891447386,-4.13566847981556,-4.088465970482463,-0.047202509333097
